index,title,original_language,release_date,popularity,vote_average,vote_count,overview,
0,Spider-Man: Across the Spider-Verse,en,31/05/2023,3368.627,8.5,3386,"After reuniting with Gwen Stacy, Brooklynâ€™s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverseâ€™s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.", 
1,Transformers: Rise of the Beasts,en,06/06/2023,2160.316,7.5,2747,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",
2,The Flash,en,13/06/2023,2108.713,7,2305,"When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",
3,No Hard Feelings,en,15/06/2023,1978.358,7.1,562,"On the brink of losing her childhood home, Maddie discovers an intriguing job listing: wealthy helicopter parents looking for someone to â€œdateâ€ù their introverted 19-year-old son, Percy, before he leaves for college. To her surprise, Maddie soon discovers the awkward Percy is no sure thing.",
4,Barbie,en,19/07/2023,1976.513,7.5,3013,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",
5,Meg 2: The Trench,en,02/08/2023,1730.76,7,446,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,
6,Elemental,en,14/06/2023,1711.569,7.7,877,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",
7,The Flood,en,14/07/2023,1700.342,6.8,115,A horde of giant hungry alligators is unleashed on a group of in-transit prisoners and their guards after a massive hurricane floods Louisiana.,
8,Insidious: The Red Door,en,05/07/2023,1601.636,6.9,846,"To put their demons to rest once and for all, Josh Lambert and a college-aged Dalton Lambert must go deeper into The Further than ever before, facing their family's dark past and a host of new and more horrifying terrors that lurk behind the red door.",
9,Soulcatcher,pl,02/08/2023,1585.721,6.5,100,A military contractor hired to seize a weapon that turns people into savage killers seeks revenge when his brother falls victim to the device.,
10,Zom 100: Bucket List of the Dead,ja,03/08/2023,1369.019,6.6,194,"Bullied by his boss, worked around the clock, he's nothing more than a corporate drone. All it takes is a zombie outbreak for him to finally feel alive!",
11,Hidden Strike,en,06/07/2023,1365.563,7.1,545,Two elite soldiers must escort civilians through a gauntlet of gunfire and explosions.,
12,The Little Mermaid,en,18/05/2023,1268.064,6.5,1598,"The youngest of King Tritonâ€™s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With mermaids forbidden to interact with humans, Ariel makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life â€“ and her fatherâ€™s crown â€“ in jeopardy.",
13,Fast X,en,17/05/2023,1248.845,7.3,3338,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everythingâ€”and everyoneâ€”that Dom loves, forever.",
14,Resident Evil: Death Island,ja,22/06/2023,1056.505,7.7,535,"In San Francisco, Jill Valentine is dealing with a zombie outbreak and a new T-Virus, Leon Kennedy is on the trail of a kidnapped DARPA scientist, and Claire Redfield is investigating a monstrous fish that is killing whales in the bay. Joined by Chris Redfield and Rebecca Chambers, they discover the trail of clues from their separate cases all converge on the same location, Alcatraz Island, where a new evil has taken residence and awaits their arrival.",
15,Guardians of the Galaxy Vol. 3,en,03/05/2023,1040.386,8.1,4292,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",
16,River Wild,en,01/08/2023,986.412,6.5,57,Follows a pair of siblings who love but distrust each other as they embark on a white-water rafting trip with a small group. One of their friends from childhood turns out to be more dangerous than he appears.,
17,Head to Head,ar,03/08/2023,975.929,6.9,40,"Hilarity meets danger when a lovesick chauffeur and a bootleg mechanic mistakenly pick up a retired crime lord, igniting a wild, life-changing adventure.",
